,REF_DATE,GEO,New housing price indexes,UOM,HPI_troisriv_qc
317,2007-06,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
318,2007-07,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
319,2007-08,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
320,2007-09,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
321,2007-10,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
322,2007-11,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
323,2007-12,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
324,2008-01,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
325,2008-02,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
326,2008-03,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
327,2008-04,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
328,2008-05,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
329,2008-06,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
330,2008-07,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
331,2008-08,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
332,2008-09,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
333,2008-10,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
334,2008-11,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
335,2008-12,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
336,2009-01,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
337,2009-02,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
338,2009-03,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
339,2009-04,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
340,2009-05,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
341,2009-06,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
342,2009-07,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
343,2009-08,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
344,2009-09,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
345,2009-10,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
346,2009-11,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
347,2009-12,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
348,2010-01,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
349,2010-02,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
350,2010-03,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
351,2010-04,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
352,2010-05,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
353,2010-06,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
354,2010-07,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
355,2010-08,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
356,2010-09,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
357,2010-10,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
358,2010-11,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
359,2010-12,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
360,2011-01,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
361,2011-02,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
362,2011-03,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
363,2011-04,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
364,2011-05,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
365,2011-06,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
366,2011-07,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
367,2011-08,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
368,2011-09,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
369,2011-10,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
370,2011-11,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
371,2011-12,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
372,2012-01,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
373,2012-02,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
374,2012-03,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
375,2012-04,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
376,2012-05,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
377,2012-06,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
378,2012-07,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
379,2012-08,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
380,2012-09,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
381,2012-10,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
382,2012-11,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
