,REF_DATE,GEO,New housing price indexes,UOM,HPI_saskatoon_sask
268,2003-05,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",50.8
269,2003-06,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",51.2
270,2003-07,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",51.2
271,2003-08,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",51.8
272,2003-09,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",52.4
273,2003-10,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",52.4
274,2003-11,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",52.4
275,2003-12,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",52.4
276,2004-01,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",52.4
277,2004-02,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",52.4
278,2004-03,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",52.8
279,2004-04,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",52.8
280,2004-05,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",52.8
281,2004-06,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",54.1
282,2004-07,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",54.1
283,2004-08,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",54.1
284,2004-09,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",56.4
285,2004-10,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",56.4
286,2004-11,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",56.4
287,2004-12,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",56.5
288,2005-01,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",56.5
289,2005-02,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",56.5
290,2005-03,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",57.8
291,2005-04,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",57.8
292,2005-05,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",57.9
293,2005-06,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",57.7
294,2005-07,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",57.7
295,2005-08,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",57.7
296,2005-09,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",58.8
297,2005-10,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",58.8
298,2005-11,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",58.8
299,2005-12,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",58.8
300,2006-01,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",58.8
301,2006-02,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",58.8
302,2006-03,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",61.8
303,2006-04,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",61.8
304,2006-05,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",61.8
305,2006-06,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",62.9
306,2006-07,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",63.7
307,2006-08,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",63.7
308,2006-09,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",65.1
309,2006-10,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",65.1
310,2006-11,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",65.1
311,2006-12,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",67.3
312,2007-01,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",67.3
313,2007-02,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",67.3
314,2007-03,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",76.5
315,2007-04,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",77.5
316,2007-05,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",87.8
317,2007-06,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",95.4
318,2007-07,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",98.8
319,2007-08,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",100.5
320,2007-09,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",100.3
321,2007-10,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",100.9
322,2007-11,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",100.9
323,2007-12,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",101.6
324,2008-01,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",107.1
325,2008-02,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",112.3
326,2008-03,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",114.9
327,2008-04,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",115.4
328,2008-05,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",115.4
329,2008-06,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",109.7
330,2008-07,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",109.7
331,2008-08,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",105.1
332,2008-09,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",101.5
333,2008-10,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",99.3
334,2008-11,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",98.7
335,2008-12,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",97.8
336,2009-01,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",98.9
337,2009-02,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",95.9
338,2009-03,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",95.0
339,2009-04,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",94.5
340,2009-05,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",92.9
341,2009-06,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",93.6
342,2009-07,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",93.6
343,2009-08,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",93.8
344,2009-09,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",94.4
