,REF_DATE,GEO,New housing price indexes,UOM,HPI_calgary_alb
259,2002-08,"Calgary, Alberta",House only,"Index, 201612=100",48.2
260,2002-09,"Calgary, Alberta",House only,"Index, 201612=100",48.3
261,2002-10,"Calgary, Alberta",House only,"Index, 201612=100",48.4
262,2002-11,"Calgary, Alberta",House only,"Index, 201612=100",48.6
263,2002-12,"Calgary, Alberta",House only,"Index, 201612=100",49.1
264,2003-01,"Calgary, Alberta",House only,"Index, 201612=100",49.2
265,2003-02,"Calgary, Alberta",House only,"Index, 201612=100",49.4
266,2003-03,"Calgary, Alberta",House only,"Index, 201612=100",49.7
267,2003-04,"Calgary, Alberta",House only,"Index, 201612=100",49.9
268,2003-05,"Calgary, Alberta",House only,"Index, 201612=100",50.0
269,2003-06,"Calgary, Alberta",House only,"Index, 201612=100",50.3
270,2003-07,"Calgary, Alberta",House only,"Index, 201612=100",50.4
271,2003-08,"Calgary, Alberta",House only,"Index, 201612=100",50.5
272,2003-09,"Calgary, Alberta",House only,"Index, 201612=100",50.8
273,2003-10,"Calgary, Alberta",House only,"Index, 201612=100",51.4
274,2003-11,"Calgary, Alberta",House only,"Index, 201612=100",51.7
275,2003-12,"Calgary, Alberta",House only,"Index, 201612=100",52.4
276,2004-01,"Calgary, Alberta",House only,"Index, 201612=100",52.4
277,2004-02,"Calgary, Alberta",House only,"Index, 201612=100",52.5
278,2004-03,"Calgary, Alberta",House only,"Index, 201612=100",52.6
279,2004-04,"Calgary, Alberta",House only,"Index, 201612=100",52.9
280,2004-05,"Calgary, Alberta",House only,"Index, 201612=100",53.2
281,2004-06,"Calgary, Alberta",House only,"Index, 201612=100",53.4
282,2004-07,"Calgary, Alberta",House only,"Index, 201612=100",53.6
283,2004-08,"Calgary, Alberta",House only,"Index, 201612=100",53.8
284,2004-09,"Calgary, Alberta",House only,"Index, 201612=100",54.0
285,2004-10,"Calgary, Alberta",House only,"Index, 201612=100",54.2
286,2004-11,"Calgary, Alberta",House only,"Index, 201612=100",54.1
287,2004-12,"Calgary, Alberta",House only,"Index, 201612=100",54.2
288,2005-01,"Calgary, Alberta",House only,"Index, 201612=100",54.3
289,2005-02,"Calgary, Alberta",House only,"Index, 201612=100",54.6
290,2005-03,"Calgary, Alberta",House only,"Index, 201612=100",54.9
291,2005-04,"Calgary, Alberta",House only,"Index, 201612=100",55.2
292,2005-05,"Calgary, Alberta",House only,"Index, 201612=100",55.5
293,2005-06,"Calgary, Alberta",House only,"Index, 201612=100",56.2
294,2005-07,"Calgary, Alberta",House only,"Index, 201612=100",56.2
295,2005-08,"Calgary, Alberta",House only,"Index, 201612=100",56.5
296,2005-09,"Calgary, Alberta",House only,"Index, 201612=100",57.9
297,2005-10,"Calgary, Alberta",House only,"Index, 201612=100",60.6
298,2005-11,"Calgary, Alberta",House only,"Index, 201612=100",62.9
299,2005-12,"Calgary, Alberta",House only,"Index, 201612=100",66.4
300,2006-01,"Calgary, Alberta",House only,"Index, 201612=100",68.0
301,2006-02,"Calgary, Alberta",House only,"Index, 201612=100",70.0
302,2006-03,"Calgary, Alberta",House only,"Index, 201612=100",74.3
303,2006-04,"Calgary, Alberta",House only,"Index, 201612=100",78.8
304,2006-05,"Calgary, Alberta",House only,"Index, 201612=100",82.2
305,2006-06,"Calgary, Alberta",House only,"Index, 201612=100",87.3
306,2006-07,"Calgary, Alberta",House only,"Index, 201612=100",90.5
307,2006-08,"Calgary, Alberta",House only,"Index, 201612=100",93.9
308,2006-09,"Calgary, Alberta",House only,"Index, 201612=100",94.3
309,2006-10,"Calgary, Alberta",House only,"Index, 201612=100",93.6
310,2006-11,"Calgary, Alberta",House only,"Index, 201612=100",93.9
311,2006-12,"Calgary, Alberta",House only,"Index, 201612=100",92.4
312,2007-01,"Calgary, Alberta",House only,"Index, 201612=100",93.4
313,2007-02,"Calgary, Alberta",House only,"Index, 201612=100",93.5
314,2007-03,"Calgary, Alberta",House only,"Index, 201612=100",93.8
315,2007-04,"Calgary, Alberta",House only,"Index, 201612=100",95.6
316,2007-05,"Calgary, Alberta",House only,"Index, 201612=100",96.6
317,2007-06,"Calgary, Alberta",House only,"Index, 201612=100",97.0
318,2007-07,"Calgary, Alberta",House only,"Index, 201612=100",97.1
319,2007-08,"Calgary, Alberta",House only,"Index, 201612=100",97.0
320,2007-09,"Calgary, Alberta",House only,"Index, 201612=100",97.6
321,2007-10,"Calgary, Alberta",House only,"Index, 201612=100",97.0
322,2007-11,"Calgary, Alberta",House only,"Index, 201612=100",96.8
323,2007-12,"Calgary, Alberta",House only,"Index, 201612=100",96.8
324,2008-01,"Calgary, Alberta",House only,"Index, 201612=100",96.5
325,2008-02,"Calgary, Alberta",House only,"Index, 201612=100",96.1
326,2008-03,"Calgary, Alberta",House only,"Index, 201612=100",96.4
327,2008-04,"Calgary, Alberta",House only,"Index, 201612=100",95.2
328,2008-05,"Calgary, Alberta",House only,"Index, 201612=100",94.3
329,2008-06,"Calgary, Alberta",House only,"Index, 201612=100",93.9
330,2008-07,"Calgary, Alberta",House only,"Index, 201612=100",93.8
331,2008-08,"Calgary, Alberta",House only,"Index, 201612=100",92.7
332,2008-09,"Calgary, Alberta",House only,"Index, 201612=100",92.8
333,2008-10,"Calgary, Alberta",House only,"Index, 201612=100",92.1
334,2008-11,"Calgary, Alberta",House only,"Index, 201612=100",90.6
335,2008-12,"Calgary, Alberta",House only,"Index, 201612=100",88.8
336,2009-01,"Calgary, Alberta",House only,"Index, 201612=100",86.0
337,2009-02,"Calgary, Alberta",House only,"Index, 201612=100",85.1
338,2009-03,"Calgary, Alberta",House only,"Index, 201612=100",84.0
339,2009-04,"Calgary, Alberta",House only,"Index, 201612=100",82.9
340,2009-05,"Calgary, Alberta",House only,"Index, 201612=100",83.1
341,2009-06,"Calgary, Alberta",House only,"Index, 201612=100",83.8
342,2009-07,"Calgary, Alberta",House only,"Index, 201612=100",84.3
343,2009-08,"Calgary, Alberta",House only,"Index, 201612=100",84.8
344,2009-09,"Calgary, Alberta",House only,"Index, 201612=100",85.2
345,2009-10,"Calgary, Alberta",House only,"Index, 201612=100",85.8
346,2009-11,"Calgary, Alberta",House only,"Index, 201612=100",86.1
347,2009-12,"Calgary, Alberta",House only,"Index, 201612=100",86.3
348,2010-01,"Calgary, Alberta",House only,"Index, 201612=100",86.9
349,2010-02,"Calgary, Alberta",House only,"Index, 201612=100",87.0
350,2010-03,"Calgary, Alberta",House only,"Index, 201612=100",87.3
351,2010-04,"Calgary, Alberta",House only,"Index, 201612=100",87.4
352,2010-05,"Calgary, Alberta",House only,"Index, 201612=100",87.8
353,2010-06,"Calgary, Alberta",House only,"Index, 201612=100",87.8
354,2010-07,"Calgary, Alberta",House only,"Index, 201612=100",87.7
355,2010-08,"Calgary, Alberta",House only,"Index, 201612=100",87.6
356,2010-09,"Calgary, Alberta",House only,"Index, 201612=100",87.7
357,2010-10,"Calgary, Alberta",House only,"Index, 201612=100",86.8
358,2010-11,"Calgary, Alberta",House only,"Index, 201612=100",86.3
359,2010-12,"Calgary, Alberta",House only,"Index, 201612=100",86.5
360,2011-01,"Calgary, Alberta",House only,"Index, 201612=100",86.8
361,2011-02,"Calgary, Alberta",House only,"Index, 201612=100",86.3
362,2011-03,"Calgary, Alberta",House only,"Index, 201612=100",86.1
363,2011-04,"Calgary, Alberta",House only,"Index, 201612=100",86.1
364,2011-05,"Calgary, Alberta",House only,"Index, 201612=100",86.1
365,2011-06,"Calgary, Alberta",House only,"Index, 201612=100",85.7
366,2011-07,"Calgary, Alberta",House only,"Index, 201612=100",85.0
367,2011-08,"Calgary, Alberta",House only,"Index, 201612=100",85.2
368,2011-09,"Calgary, Alberta",House only,"Index, 201612=100",85.9
369,2011-10,"Calgary, Alberta",House only,"Index, 201612=100",86.1
370,2011-11,"Calgary, Alberta",House only,"Index, 201612=100",85.8
371,2011-12,"Calgary, Alberta",House only,"Index, 201612=100",86.0
372,2012-01,"Calgary, Alberta",House only,"Index, 201612=100",86.5
373,2012-02,"Calgary, Alberta",House only,"Index, 201612=100",86.6
374,2012-03,"Calgary, Alberta",House only,"Index, 201612=100",87.0
375,2012-04,"Calgary, Alberta",House only,"Index, 201612=100",87.0
376,2012-05,"Calgary, Alberta",House only,"Index, 201612=100",87.3
377,2012-06,"Calgary, Alberta",House only,"Index, 201612=100",87.9
378,2012-07,"Calgary, Alberta",House only,"Index, 201612=100",88.1
379,2012-08,"Calgary, Alberta",House only,"Index, 201612=100",88.4
380,2012-09,"Calgary, Alberta",House only,"Index, 201612=100",88.8
381,2012-10,"Calgary, Alberta",House only,"Index, 201612=100",89.2
382,2012-11,"Calgary, Alberta",House only,"Index, 201612=100",89.1
383,2012-12,"Calgary, Alberta",House only,"Index, 201612=100",89.8
384,2013-01,"Calgary, Alberta",House only,"Index, 201612=100",90.4
385,2013-02,"Calgary, Alberta",House only,"Index, 201612=100",91.5
386,2013-03,"Calgary, Alberta",House only,"Index, 201612=100",92.0
387,2013-04,"Calgary, Alberta",House only,"Index, 201612=100",92.8
388,2013-05,"Calgary, Alberta",House only,"Index, 201612=100",93.7
389,2013-06,"Calgary, Alberta",House only,"Index, 201612=100",94.0
390,2013-07,"Calgary, Alberta",House only,"Index, 201612=100",94.7
391,2013-08,"Calgary, Alberta",House only,"Index, 201612=100",95.3
392,2013-09,"Calgary, Alberta",House only,"Index, 201612=100",95.9
393,2013-10,"Calgary, Alberta",House only,"Index, 201612=100",96.0
