,REF_DATE,GEO,New housing price indexes,UOM,HPI_vancouver_bc
234,2000-07,"Vancouver, British Columbia",House only,"Index, 201612=100",68.4
235,2000-08,"Vancouver, British Columbia",House only,"Index, 201612=100",68.5
236,2000-09,"Vancouver, British Columbia",House only,"Index, 201612=100",68.5
237,2000-10,"Vancouver, British Columbia",House only,"Index, 201612=100",68.5
238,2000-11,"Vancouver, British Columbia",House only,"Index, 201612=100",68.5
239,2000-12,"Vancouver, British Columbia",House only,"Index, 201612=100",68.1
240,2001-01,"Vancouver, British Columbia",House only,"Index, 201612=100",68.1
241,2001-02,"Vancouver, British Columbia",House only,"Index, 201612=100",68.3
242,2001-03,"Vancouver, British Columbia",House only,"Index, 201612=100",68.5
243,2001-04,"Vancouver, British Columbia",House only,"Index, 201612=100",68.6
244,2001-05,"Vancouver, British Columbia",House only,"Index, 201612=100",68.7
245,2001-06,"Vancouver, British Columbia",House only,"Index, 201612=100",68.8
246,2001-07,"Vancouver, British Columbia",House only,"Index, 201612=100",69.4
247,2001-08,"Vancouver, British Columbia",House only,"Index, 201612=100",69.6
248,2001-09,"Vancouver, British Columbia",House only,"Index, 201612=100",70.0
249,2001-10,"Vancouver, British Columbia",House only,"Index, 201612=100",70.3
250,2001-11,"Vancouver, British Columbia",House only,"Index, 201612=100",70.6
251,2001-12,"Vancouver, British Columbia",House only,"Index, 201612=100",70.6
252,2002-01,"Vancouver, British Columbia",House only,"Index, 201612=100",70.8
253,2002-02,"Vancouver, British Columbia",House only,"Index, 201612=100",71.0
254,2002-03,"Vancouver, British Columbia",House only,"Index, 201612=100",71.4
255,2002-04,"Vancouver, British Columbia",House only,"Index, 201612=100",71.7
256,2002-05,"Vancouver, British Columbia",House only,"Index, 201612=100",71.9
257,2002-06,"Vancouver, British Columbia",House only,"Index, 201612=100",71.9
258,2002-07,"Vancouver, British Columbia",House only,"Index, 201612=100",71.9
259,2002-08,"Vancouver, British Columbia",House only,"Index, 201612=100",71.9
260,2002-09,"Vancouver, British Columbia",House only,"Index, 201612=100",72.0
261,2002-10,"Vancouver, British Columbia",House only,"Index, 201612=100",72.6
262,2002-11,"Vancouver, British Columbia",House only,"Index, 201612=100",72.8
263,2002-12,"Vancouver, British Columbia",House only,"Index, 201612=100",72.8
264,2003-01,"Vancouver, British Columbia",House only,"Index, 201612=100",73.2
265,2003-02,"Vancouver, British Columbia",House only,"Index, 201612=100",74.2
