,REF_DATE,GEO,New housing price indexes,UOM,HPI_charlottetown_pei
190,1996-11,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",87.9
191,1996-12,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",87.8
192,1997-01,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",87.8
193,1997-02,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",88.4
194,1997-03,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",88.4
195,1997-04,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",88.4
196,1997-05,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",88.4
197,1997-06,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",88.5
198,1997-07,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",88.8
199,1997-08,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",89.2
200,1997-09,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",88.1
201,1997-10,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",86.7
202,1997-11,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",85.6
203,1997-12,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",85.6
204,1998-01,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",84.2
205,1998-02,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",85.5
206,1998-03,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",85.5
207,1998-04,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",85.5
208,1998-05,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",85.5
209,1998-06,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",84.9
210,1998-07,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",85.0
211,1998-08,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",85.0
212,1998-09,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",86.9
213,1998-10,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",88.0
214,1998-11,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",88.5
215,1998-12,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",88.1
216,1999-01,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",86.9
217,1999-02,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",86.9
218,1999-03,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",86.9
219,1999-04,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",86.6
220,1999-05,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",86.6
221,1999-06,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",86.6
222,1999-07,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",87.5
223,1999-08,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",87.5
224,1999-09,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",87.5
225,1999-10,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",88.0
226,1999-11,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",88.2
227,1999-12,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",88.2
228,2000-01,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",88.2
229,2000-02,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",88.2
230,2000-03,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",88.2
231,2000-04,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",88.2
232,2000-05,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",88.2
233,2000-06,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",88.2
234,2000-07,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",88.2
235,2000-08,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",89.5
236,2000-09,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",89.5
237,2000-10,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",89.7
238,2000-11,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",89.5
239,2000-12,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",89.4
240,2001-01,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",89.7
241,2001-02,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",89.7
242,2001-03,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",89.9
243,2001-04,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",89.8
244,2001-05,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",89.8
245,2001-06,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",89.8
246,2001-07,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",89.8
247,2001-08,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",88.4
248,2001-09,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",88.6
249,2001-10,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",88.6
250,2001-11,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",88.6
251,2001-12,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",88.5
252,2002-01,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",88.5
253,2002-02,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",88.6
254,2002-03,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",88.6
255,2002-04,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",88.6
256,2002-05,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",88.6
