,REF_DATE,GEO,New housing price indexes,UOM,HPI_prairie_region
436,2017-05,Prairie Region,House only,"Index, 201612=100",100.0
437,2017-06,Prairie Region,House only,"Index, 201612=100",99.9
438,2017-07,Prairie Region,House only,"Index, 201612=100",100.2
439,2017-08,Prairie Region,House only,"Index, 201612=100",100.3
440,2017-09,Prairie Region,House only,"Index, 201612=100",100.2
441,2017-10,Prairie Region,House only,"Index, 201612=100",100.3
442,2017-11,Prairie Region,House only,"Index, 201612=100",100.4
443,2017-12,Prairie Region,House only,"Index, 201612=100",100.2
444,2018-01,Prairie Region,House only,"Index, 201612=100",100.2
445,2018-02,Prairie Region,House only,"Index, 201612=100",99.8
446,2018-03,Prairie Region,House only,"Index, 201612=100",99.6
447,2018-04,Prairie Region,House only,"Index, 201612=100",99.5
448,2018-05,Prairie Region,House only,"Index, 201612=100",99.5
449,2018-06,Prairie Region,House only,"Index, 201612=100",99.7
450,2018-07,Prairie Region,House only,"Index, 201612=100",99.8
