,REF_DATE,GEO,New housing price indexes,UOM,HPI_quebec_qc
210,1998-07,"Québec, Quebec",House only,"Index, 201612=100",61.6
211,1998-08,"Québec, Quebec",House only,"Index, 201612=100",61.6
212,1998-09,"Québec, Quebec",House only,"Index, 201612=100",61.2
213,1998-10,"Québec, Quebec",House only,"Index, 201612=100",61.2
214,1998-11,"Québec, Quebec",House only,"Index, 201612=100",61.3
215,1998-12,"Québec, Quebec",House only,"Index, 201612=100",61.3
216,1999-01,"Québec, Quebec",House only,"Index, 201612=100",61.7
217,1999-02,"Québec, Quebec",House only,"Index, 201612=100",62.2
218,1999-03,"Québec, Quebec",House only,"Index, 201612=100",62.5
219,1999-04,"Québec, Quebec",House only,"Index, 201612=100",62.8
220,1999-05,"Québec, Quebec",House only,"Index, 201612=100",62.9
221,1999-06,"Québec, Quebec",House only,"Index, 201612=100",62.9
222,1999-07,"Québec, Quebec",House only,"Index, 201612=100",62.9
223,1999-08,"Québec, Quebec",House only,"Index, 201612=100",62.9
224,1999-09,"Québec, Quebec",House only,"Index, 201612=100",63.0
225,1999-10,"Québec, Quebec",House only,"Index, 201612=100",62.9
226,1999-11,"Québec, Quebec",House only,"Index, 201612=100",63.1
227,1999-12,"Québec, Quebec",House only,"Index, 201612=100",63.1
228,2000-01,"Québec, Quebec",House only,"Index, 201612=100",64.1
229,2000-02,"Québec, Quebec",House only,"Index, 201612=100",64.1
230,2000-03,"Québec, Quebec",House only,"Index, 201612=100",64.2
231,2000-04,"Québec, Quebec",House only,"Index, 201612=100",64.2
232,2000-05,"Québec, Quebec",House only,"Index, 201612=100",64.3
233,2000-06,"Québec, Quebec",House only,"Index, 201612=100",64.3
234,2000-07,"Québec, Quebec",House only,"Index, 201612=100",64.3
235,2000-08,"Québec, Quebec",House only,"Index, 201612=100",64.4
236,2000-09,"Québec, Quebec",House only,"Index, 201612=100",64.4
237,2000-10,"Québec, Quebec",House only,"Index, 201612=100",64.4
238,2000-11,"Québec, Quebec",House only,"Index, 201612=100",64.5
239,2000-12,"Québec, Quebec",House only,"Index, 201612=100",64.5
240,2001-01,"Québec, Quebec",House only,"Index, 201612=100",65.1
241,2001-02,"Québec, Quebec",House only,"Index, 201612=100",65.5
242,2001-03,"Québec, Quebec",House only,"Index, 201612=100",65.5
243,2001-04,"Québec, Quebec",House only,"Index, 201612=100",65.5
244,2001-05,"Québec, Quebec",House only,"Index, 201612=100",65.5
245,2001-06,"Québec, Quebec",House only,"Index, 201612=100",66.6
246,2001-07,"Québec, Quebec",House only,"Index, 201612=100",66.6
247,2001-08,"Québec, Quebec",House only,"Index, 201612=100",66.5
248,2001-09,"Québec, Quebec",House only,"Index, 201612=100",66.7
249,2001-10,"Québec, Quebec",House only,"Index, 201612=100",66.2
250,2001-11,"Québec, Quebec",House only,"Index, 201612=100",66.2
251,2001-12,"Québec, Quebec",House only,"Index, 201612=100",66.2
252,2002-01,"Québec, Quebec",House only,"Index, 201612=100",66.8
253,2002-02,"Québec, Quebec",House only,"Index, 201612=100",67.3
254,2002-03,"Québec, Quebec",House only,"Index, 201612=100",67.7
255,2002-04,"Québec, Quebec",House only,"Index, 201612=100",68.2
256,2002-05,"Québec, Quebec",House only,"Index, 201612=100",68.5
257,2002-06,"Québec, Quebec",House only,"Index, 201612=100",68.8
258,2002-07,"Québec, Quebec",House only,"Index, 201612=100",68.8
259,2002-08,"Québec, Quebec",House only,"Index, 201612=100",69.8
260,2002-09,"Québec, Quebec",House only,"Index, 201612=100",70.3
261,2002-10,"Québec, Quebec",House only,"Index, 201612=100",71.2
262,2002-11,"Québec, Quebec",House only,"Index, 201612=100",72.3
263,2002-12,"Québec, Quebec",House only,"Index, 201612=100",72.3
264,2003-01,"Québec, Quebec",House only,"Index, 201612=100",73.5
265,2003-02,"Québec, Quebec",House only,"Index, 201612=100",74.6
266,2003-03,"Québec, Quebec",House only,"Index, 201612=100",74.8
267,2003-04,"Québec, Quebec",House only,"Index, 201612=100",75.8
268,2003-05,"Québec, Quebec",House only,"Index, 201612=100",76.0
269,2003-06,"Québec, Quebec",House only,"Index, 201612=100",76.0
270,2003-07,"Québec, Quebec",House only,"Index, 201612=100",76.0
271,2003-08,"Québec, Quebec",House only,"Index, 201612=100",77.2
272,2003-09,"Québec, Quebec",House only,"Index, 201612=100",78.3
273,2003-10,"Québec, Quebec",House only,"Index, 201612=100",78.4
274,2003-11,"Québec, Quebec",House only,"Index, 201612=100",79.3
275,2003-12,"Québec, Quebec",House only,"Index, 201612=100",79.3
276,2004-01,"Québec, Quebec",House only,"Index, 201612=100",79.7
277,2004-02,"Québec, Quebec",House only,"Index, 201612=100",79.9
278,2004-03,"Québec, Quebec",House only,"Index, 201612=100",79.9
279,2004-04,"Québec, Quebec",House only,"Index, 201612=100",80.3
280,2004-05,"Québec, Quebec",House only,"Index, 201612=100",81.1
281,2004-06,"Québec, Quebec",House only,"Index, 201612=100",81.1
282,2004-07,"Québec, Quebec",House only,"Index, 201612=100",81.1
283,2004-08,"Québec, Quebec",House only,"Index, 201612=100",81.4
284,2004-09,"Québec, Quebec",House only,"Index, 201612=100",81.4
285,2004-10,"Québec, Quebec",House only,"Index, 201612=100",81.9
286,2004-11,"Québec, Quebec",House only,"Index, 201612=100",82.4
287,2004-12,"Québec, Quebec",House only,"Index, 201612=100",82.4
288,2005-01,"Québec, Quebec",House only,"Index, 201612=100",82.8
289,2005-02,"Québec, Quebec",House only,"Index, 201612=100",83.2
290,2005-03,"Québec, Quebec",House only,"Index, 201612=100",83.2
291,2005-04,"Québec, Quebec",House only,"Index, 201612=100",83.7
292,2005-05,"Québec, Quebec",House only,"Index, 201612=100",84.0
293,2005-06,"Québec, Quebec",House only,"Index, 201612=100",84.0
294,2005-07,"Québec, Quebec",House only,"Index, 201612=100",84.0
295,2005-08,"Québec, Quebec",House only,"Index, 201612=100",84.6
296,2005-09,"Québec, Quebec",House only,"Index, 201612=100",84.6
297,2005-10,"Québec, Quebec",House only,"Index, 201612=100",85.3
298,2005-11,"Québec, Quebec",House only,"Index, 201612=100",85.9
299,2005-12,"Québec, Quebec",House only,"Index, 201612=100",85.9
300,2006-01,"Québec, Quebec",House only,"Index, 201612=100",86.2
301,2006-02,"Québec, Quebec",House only,"Index, 201612=100",86.8
302,2006-03,"Québec, Quebec",House only,"Index, 201612=100",86.8
303,2006-04,"Québec, Quebec",House only,"Index, 201612=100",86.8
304,2006-05,"Québec, Quebec",House only,"Index, 201612=100",87.1
305,2006-06,"Québec, Quebec",House only,"Index, 201612=100",87.2
306,2006-07,"Québec, Quebec",House only,"Index, 201612=100",87.2
307,2006-08,"Québec, Quebec",House only,"Index, 201612=100",87.2
308,2006-09,"Québec, Quebec",House only,"Index, 201612=100",87.2
309,2006-10,"Québec, Quebec",House only,"Index, 201612=100",87.3
310,2006-11,"Québec, Quebec",House only,"Index, 201612=100",87.3
311,2006-12,"Québec, Quebec",House only,"Index, 201612=100",87.3
312,2007-01,"Québec, Quebec",House only,"Index, 201612=100",87.3
313,2007-02,"Québec, Quebec",House only,"Index, 201612=100",88.3
314,2007-03,"Québec, Quebec",House only,"Index, 201612=100",88.4
315,2007-04,"Québec, Quebec",House only,"Index, 201612=100",88.4
316,2007-05,"Québec, Quebec",House only,"Index, 201612=100",88.6
317,2007-06,"Québec, Quebec",House only,"Index, 201612=100",88.6
318,2007-07,"Québec, Quebec",House only,"Index, 201612=100",88.6
319,2007-08,"Québec, Quebec",House only,"Index, 201612=100",89.1
320,2007-09,"Québec, Quebec",House only,"Index, 201612=100",89.1
321,2007-10,"Québec, Quebec",House only,"Index, 201612=100",89.1
322,2007-11,"Québec, Quebec",House only,"Index, 201612=100",89.6
323,2007-12,"Québec, Quebec",House only,"Index, 201612=100",89.6
324,2008-01,"Québec, Quebec",House only,"Index, 201612=100",89.8
325,2008-02,"Québec, Quebec",House only,"Index, 201612=100",89.9
326,2008-03,"Québec, Quebec",House only,"Index, 201612=100",89.9
327,2008-04,"Québec, Quebec",House only,"Index, 201612=100",89.9
328,2008-05,"Québec, Quebec",House only,"Index, 201612=100",90.2
329,2008-06,"Québec, Quebec",House only,"Index, 201612=100",90.5
330,2008-07,"Québec, Quebec",House only,"Index, 201612=100",90.5
331,2008-08,"Québec, Quebec",House only,"Index, 201612=100",91.5
332,2008-09,"Québec, Quebec",House only,"Index, 201612=100",91.5
333,2008-10,"Québec, Quebec",House only,"Index, 201612=100",91.5
334,2008-11,"Québec, Quebec",House only,"Index, 201612=100",91.8
335,2008-12,"Québec, Quebec",House only,"Index, 201612=100",91.8
336,2009-01,"Québec, Quebec",House only,"Index, 201612=100",92.1
337,2009-02,"Québec, Quebec",House only,"Index, 201612=100",92.6
338,2009-03,"Québec, Quebec",House only,"Index, 201612=100",92.6
339,2009-04,"Québec, Quebec",House only,"Index, 201612=100",92.6
340,2009-05,"Québec, Quebec",House only,"Index, 201612=100",92.7
341,2009-06,"Québec, Quebec",House only,"Index, 201612=100",92.7
342,2009-07,"Québec, Quebec",House only,"Index, 201612=100",92.6
343,2009-08,"Québec, Quebec",House only,"Index, 201612=100",93.7
344,2009-09,"Québec, Quebec",House only,"Index, 201612=100",93.7
345,2009-10,"Québec, Quebec",House only,"Index, 201612=100",93.9
346,2009-11,"Québec, Quebec",House only,"Index, 201612=100",95.1
347,2009-12,"Québec, Quebec",House only,"Index, 201612=100",95.1
348,2010-01,"Québec, Quebec",House only,"Index, 201612=100",95.1
349,2010-02,"Québec, Quebec",House only,"Index, 201612=100",95.1
350,2010-03,"Québec, Quebec",House only,"Index, 201612=100",95.1
351,2010-04,"Québec, Quebec",House only,"Index, 201612=100",95.1
352,2010-05,"Québec, Quebec",House only,"Index, 201612=100",95.7
353,2010-06,"Québec, Quebec",House only,"Index, 201612=100",95.7
354,2010-07,"Québec, Quebec",House only,"Index, 201612=100",95.7
355,2010-08,"Québec, Quebec",House only,"Index, 201612=100",95.7
356,2010-09,"Québec, Quebec",House only,"Index, 201612=100",95.7
357,2010-10,"Québec, Quebec",House only,"Index, 201612=100",96.0
358,2010-11,"Québec, Quebec",House only,"Index, 201612=100",96.1
359,2010-12,"Québec, Quebec",House only,"Index, 201612=100",95.6
360,2011-01,"Québec, Quebec",House only,"Index, 201612=100",96.3
361,2011-02,"Québec, Quebec",House only,"Index, 201612=100",97.0
362,2011-03,"Québec, Quebec",House only,"Index, 201612=100",97.0
363,2011-04,"Québec, Quebec",House only,"Index, 201612=100",97.1
364,2011-05,"Québec, Quebec",House only,"Index, 201612=100",97.0
365,2011-06,"Québec, Quebec",House only,"Index, 201612=100",97.3
366,2011-07,"Québec, Quebec",House only,"Index, 201612=100",97.3
367,2011-08,"Québec, Quebec",House only,"Index, 201612=100",97.7
368,2011-09,"Québec, Quebec",House only,"Index, 201612=100",97.7
369,2011-10,"Québec, Quebec",House only,"Index, 201612=100",97.8
370,2011-11,"Québec, Quebec",House only,"Index, 201612=100",98.4
371,2011-12,"Québec, Quebec",House only,"Index, 201612=100",98.7
372,2012-01,"Québec, Quebec",House only,"Index, 201612=100",98.7
373,2012-02,"Québec, Quebec",House only,"Index, 201612=100",99.3
374,2012-03,"Québec, Quebec",House only,"Index, 201612=100",99.8
375,2012-04,"Québec, Quebec",House only,"Index, 201612=100",100.0
376,2012-05,"Québec, Quebec",House only,"Index, 201612=100",100.0
377,2012-06,"Québec, Quebec",House only,"Index, 201612=100",100.1
378,2012-07,"Québec, Quebec",House only,"Index, 201612=100",100.1
379,2012-08,"Québec, Quebec",House only,"Index, 201612=100",100.6
380,2012-09,"Québec, Quebec",House only,"Index, 201612=100",101.1
381,2012-10,"Québec, Quebec",House only,"Index, 201612=100",101.1
382,2012-11,"Québec, Quebec",House only,"Index, 201612=100",101.3
383,2012-12,"Québec, Quebec",House only,"Index, 201612=100",101.5
384,2013-01,"Québec, Quebec",House only,"Index, 201612=100",101.5
385,2013-02,"Québec, Quebec",House only,"Index, 201612=100",101.4
386,2013-03,"Québec, Quebec",House only,"Index, 201612=100",101.4
387,2013-04,"Québec, Quebec",House only,"Index, 201612=100",101.5
388,2013-05,"Québec, Quebec",House only,"Index, 201612=100",101.5
389,2013-06,"Québec, Quebec",House only,"Index, 201612=100",101.5
390,2013-07,"Québec, Quebec",House only,"Index, 201612=100",101.5
391,2013-08,"Québec, Quebec",House only,"Index, 201612=100",101.5
392,2013-09,"Québec, Quebec",House only,"Index, 201612=100",101.5
393,2013-10,"Québec, Quebec",House only,"Index, 201612=100",101.6
394,2013-11,"Québec, Quebec",House only,"Index, 201612=100",101.5
395,2013-12,"Québec, Quebec",House only,"Index, 201612=100",101.6
396,2014-01,"Québec, Quebec",House only,"Index, 201612=100",101.4
397,2014-02,"Québec, Quebec",House only,"Index, 201612=100",101.3
398,2014-03,"Québec, Quebec",House only,"Index, 201612=100",101.3
399,2014-04,"Québec, Quebec",House only,"Index, 201612=100",101.3
