,REF_DATE,GEO,New housing price indexes,UOM,HPI_guelph_ont
231,2000-04,"Guelph, Ontario",House only,"Index, 201612=100",
232,2000-05,"Guelph, Ontario",House only,"Index, 201612=100",
233,2000-06,"Guelph, Ontario",House only,"Index, 201612=100",
234,2000-07,"Guelph, Ontario",House only,"Index, 201612=100",
235,2000-08,"Guelph, Ontario",House only,"Index, 201612=100",
236,2000-09,"Guelph, Ontario",House only,"Index, 201612=100",
237,2000-10,"Guelph, Ontario",House only,"Index, 201612=100",
238,2000-11,"Guelph, Ontario",House only,"Index, 201612=100",
239,2000-12,"Guelph, Ontario",House only,"Index, 201612=100",
240,2001-01,"Guelph, Ontario",House only,"Index, 201612=100",
241,2001-02,"Guelph, Ontario",House only,"Index, 201612=100",
242,2001-03,"Guelph, Ontario",House only,"Index, 201612=100",
243,2001-04,"Guelph, Ontario",House only,"Index, 201612=100",
244,2001-05,"Guelph, Ontario",House only,"Index, 201612=100",
245,2001-06,"Guelph, Ontario",House only,"Index, 201612=100",
246,2001-07,"Guelph, Ontario",House only,"Index, 201612=100",
247,2001-08,"Guelph, Ontario",House only,"Index, 201612=100",
248,2001-09,"Guelph, Ontario",House only,"Index, 201612=100",
249,2001-10,"Guelph, Ontario",House only,"Index, 201612=100",
250,2001-11,"Guelph, Ontario",House only,"Index, 201612=100",
251,2001-12,"Guelph, Ontario",House only,"Index, 201612=100",
252,2002-01,"Guelph, Ontario",House only,"Index, 201612=100",
253,2002-02,"Guelph, Ontario",House only,"Index, 201612=100",
254,2002-03,"Guelph, Ontario",House only,"Index, 201612=100",
255,2002-04,"Guelph, Ontario",House only,"Index, 201612=100",
256,2002-05,"Guelph, Ontario",House only,"Index, 201612=100",
257,2002-06,"Guelph, Ontario",House only,"Index, 201612=100",
258,2002-07,"Guelph, Ontario",House only,"Index, 201612=100",
259,2002-08,"Guelph, Ontario",House only,"Index, 201612=100",
260,2002-09,"Guelph, Ontario",House only,"Index, 201612=100",
261,2002-10,"Guelph, Ontario",House only,"Index, 201612=100",
262,2002-11,"Guelph, Ontario",House only,"Index, 201612=100",
263,2002-12,"Guelph, Ontario",House only,"Index, 201612=100",
264,2003-01,"Guelph, Ontario",House only,"Index, 201612=100",
265,2003-02,"Guelph, Ontario",House only,"Index, 201612=100",
266,2003-03,"Guelph, Ontario",House only,"Index, 201612=100",
267,2003-04,"Guelph, Ontario",House only,"Index, 201612=100",
268,2003-05,"Guelph, Ontario",House only,"Index, 201612=100",
269,2003-06,"Guelph, Ontario",House only,"Index, 201612=100",
270,2003-07,"Guelph, Ontario",House only,"Index, 201612=100",
271,2003-08,"Guelph, Ontario",House only,"Index, 201612=100",
272,2003-09,"Guelph, Ontario",House only,"Index, 201612=100",
273,2003-10,"Guelph, Ontario",House only,"Index, 201612=100",
274,2003-11,"Guelph, Ontario",House only,"Index, 201612=100",
275,2003-12,"Guelph, Ontario",House only,"Index, 201612=100",
276,2004-01,"Guelph, Ontario",House only,"Index, 201612=100",
277,2004-02,"Guelph, Ontario",House only,"Index, 201612=100",
278,2004-03,"Guelph, Ontario",House only,"Index, 201612=100",
279,2004-04,"Guelph, Ontario",House only,"Index, 201612=100",
280,2004-05,"Guelph, Ontario",House only,"Index, 201612=100",
281,2004-06,"Guelph, Ontario",House only,"Index, 201612=100",
282,2004-07,"Guelph, Ontario",House only,"Index, 201612=100",
283,2004-08,"Guelph, Ontario",House only,"Index, 201612=100",
284,2004-09,"Guelph, Ontario",House only,"Index, 201612=100",
285,2004-10,"Guelph, Ontario",House only,"Index, 201612=100",
286,2004-11,"Guelph, Ontario",House only,"Index, 201612=100",
287,2004-12,"Guelph, Ontario",House only,"Index, 201612=100",
288,2005-01,"Guelph, Ontario",House only,"Index, 201612=100",
289,2005-02,"Guelph, Ontario",House only,"Index, 201612=100",
290,2005-03,"Guelph, Ontario",House only,"Index, 201612=100",
291,2005-04,"Guelph, Ontario",House only,"Index, 201612=100",
292,2005-05,"Guelph, Ontario",House only,"Index, 201612=100",
293,2005-06,"Guelph, Ontario",House only,"Index, 201612=100",
294,2005-07,"Guelph, Ontario",House only,"Index, 201612=100",
295,2005-08,"Guelph, Ontario",House only,"Index, 201612=100",
296,2005-09,"Guelph, Ontario",House only,"Index, 201612=100",
297,2005-10,"Guelph, Ontario",House only,"Index, 201612=100",
298,2005-11,"Guelph, Ontario",House only,"Index, 201612=100",
299,2005-12,"Guelph, Ontario",House only,"Index, 201612=100",
300,2006-01,"Guelph, Ontario",House only,"Index, 201612=100",
301,2006-02,"Guelph, Ontario",House only,"Index, 201612=100",
302,2006-03,"Guelph, Ontario",House only,"Index, 201612=100",
303,2006-04,"Guelph, Ontario",House only,"Index, 201612=100",
304,2006-05,"Guelph, Ontario",House only,"Index, 201612=100",
305,2006-06,"Guelph, Ontario",House only,"Index, 201612=100",
306,2006-07,"Guelph, Ontario",House only,"Index, 201612=100",
307,2006-08,"Guelph, Ontario",House only,"Index, 201612=100",
308,2006-09,"Guelph, Ontario",House only,"Index, 201612=100",
309,2006-10,"Guelph, Ontario",House only,"Index, 201612=100",
310,2006-11,"Guelph, Ontario",House only,"Index, 201612=100",
311,2006-12,"Guelph, Ontario",House only,"Index, 201612=100",
312,2007-01,"Guelph, Ontario",House only,"Index, 201612=100",
313,2007-02,"Guelph, Ontario",House only,"Index, 201612=100",
314,2007-03,"Guelph, Ontario",House only,"Index, 201612=100",
315,2007-04,"Guelph, Ontario",House only,"Index, 201612=100",
316,2007-05,"Guelph, Ontario",House only,"Index, 201612=100",
317,2007-06,"Guelph, Ontario",House only,"Index, 201612=100",
318,2007-07,"Guelph, Ontario",House only,"Index, 201612=100",
319,2007-08,"Guelph, Ontario",House only,"Index, 201612=100",
320,2007-09,"Guelph, Ontario",House only,"Index, 201612=100",
321,2007-10,"Guelph, Ontario",House only,"Index, 201612=100",
322,2007-11,"Guelph, Ontario",House only,"Index, 201612=100",
323,2007-12,"Guelph, Ontario",House only,"Index, 201612=100",
324,2008-01,"Guelph, Ontario",House only,"Index, 201612=100",
325,2008-02,"Guelph, Ontario",House only,"Index, 201612=100",
326,2008-03,"Guelph, Ontario",House only,"Index, 201612=100",
327,2008-04,"Guelph, Ontario",House only,"Index, 201612=100",
328,2008-05,"Guelph, Ontario",House only,"Index, 201612=100",
329,2008-06,"Guelph, Ontario",House only,"Index, 201612=100",
330,2008-07,"Guelph, Ontario",House only,"Index, 201612=100",
331,2008-08,"Guelph, Ontario",House only,"Index, 201612=100",
332,2008-09,"Guelph, Ontario",House only,"Index, 201612=100",
333,2008-10,"Guelph, Ontario",House only,"Index, 201612=100",
334,2008-11,"Guelph, Ontario",House only,"Index, 201612=100",
335,2008-12,"Guelph, Ontario",House only,"Index, 201612=100",
336,2009-01,"Guelph, Ontario",House only,"Index, 201612=100",
337,2009-02,"Guelph, Ontario",House only,"Index, 201612=100",
338,2009-03,"Guelph, Ontario",House only,"Index, 201612=100",
339,2009-04,"Guelph, Ontario",House only,"Index, 201612=100",
340,2009-05,"Guelph, Ontario",House only,"Index, 201612=100",
341,2009-06,"Guelph, Ontario",House only,"Index, 201612=100",
342,2009-07,"Guelph, Ontario",House only,"Index, 201612=100",
343,2009-08,"Guelph, Ontario",House only,"Index, 201612=100",
344,2009-09,"Guelph, Ontario",House only,"Index, 201612=100",
345,2009-10,"Guelph, Ontario",House only,"Index, 201612=100",
346,2009-11,"Guelph, Ontario",House only,"Index, 201612=100",
347,2009-12,"Guelph, Ontario",House only,"Index, 201612=100",
348,2010-01,"Guelph, Ontario",House only,"Index, 201612=100",
349,2010-02,"Guelph, Ontario",House only,"Index, 201612=100",
350,2010-03,"Guelph, Ontario",House only,"Index, 201612=100",
351,2010-04,"Guelph, Ontario",House only,"Index, 201612=100",
352,2010-05,"Guelph, Ontario",House only,"Index, 201612=100",
353,2010-06,"Guelph, Ontario",House only,"Index, 201612=100",
354,2010-07,"Guelph, Ontario",House only,"Index, 201612=100",
355,2010-08,"Guelph, Ontario",House only,"Index, 201612=100",
356,2010-09,"Guelph, Ontario",House only,"Index, 201612=100",
357,2010-10,"Guelph, Ontario",House only,"Index, 201612=100",
358,2010-11,"Guelph, Ontario",House only,"Index, 201612=100",
359,2010-12,"Guelph, Ontario",House only,"Index, 201612=100",
360,2011-01,"Guelph, Ontario",House only,"Index, 201612=100",
