,REF_DATE,GEO,New housing price indexes,UOM,HPI_kelowna_bc
276,2004-01,"Kelowna, British Columbia",House only,"Index, 201612=100",
277,2004-02,"Kelowna, British Columbia",House only,"Index, 201612=100",
278,2004-03,"Kelowna, British Columbia",House only,"Index, 201612=100",
279,2004-04,"Kelowna, British Columbia",House only,"Index, 201612=100",
280,2004-05,"Kelowna, British Columbia",House only,"Index, 201612=100",
281,2004-06,"Kelowna, British Columbia",House only,"Index, 201612=100",
282,2004-07,"Kelowna, British Columbia",House only,"Index, 201612=100",
283,2004-08,"Kelowna, British Columbia",House only,"Index, 201612=100",
284,2004-09,"Kelowna, British Columbia",House only,"Index, 201612=100",
285,2004-10,"Kelowna, British Columbia",House only,"Index, 201612=100",
286,2004-11,"Kelowna, British Columbia",House only,"Index, 201612=100",
287,2004-12,"Kelowna, British Columbia",House only,"Index, 201612=100",
288,2005-01,"Kelowna, British Columbia",House only,"Index, 201612=100",
289,2005-02,"Kelowna, British Columbia",House only,"Index, 201612=100",
290,2005-03,"Kelowna, British Columbia",House only,"Index, 201612=100",
291,2005-04,"Kelowna, British Columbia",House only,"Index, 201612=100",
292,2005-05,"Kelowna, British Columbia",House only,"Index, 201612=100",
293,2005-06,"Kelowna, British Columbia",House only,"Index, 201612=100",
294,2005-07,"Kelowna, British Columbia",House only,"Index, 201612=100",
295,2005-08,"Kelowna, British Columbia",House only,"Index, 201612=100",
296,2005-09,"Kelowna, British Columbia",House only,"Index, 201612=100",
297,2005-10,"Kelowna, British Columbia",House only,"Index, 201612=100",
298,2005-11,"Kelowna, British Columbia",House only,"Index, 201612=100",
299,2005-12,"Kelowna, British Columbia",House only,"Index, 201612=100",
300,2006-01,"Kelowna, British Columbia",House only,"Index, 201612=100",
301,2006-02,"Kelowna, British Columbia",House only,"Index, 201612=100",
302,2006-03,"Kelowna, British Columbia",House only,"Index, 201612=100",
303,2006-04,"Kelowna, British Columbia",House only,"Index, 201612=100",
304,2006-05,"Kelowna, British Columbia",House only,"Index, 201612=100",
305,2006-06,"Kelowna, British Columbia",House only,"Index, 201612=100",
306,2006-07,"Kelowna, British Columbia",House only,"Index, 201612=100",
307,2006-08,"Kelowna, British Columbia",House only,"Index, 201612=100",
308,2006-09,"Kelowna, British Columbia",House only,"Index, 201612=100",
309,2006-10,"Kelowna, British Columbia",House only,"Index, 201612=100",
310,2006-11,"Kelowna, British Columbia",House only,"Index, 201612=100",
311,2006-12,"Kelowna, British Columbia",House only,"Index, 201612=100",
312,2007-01,"Kelowna, British Columbia",House only,"Index, 201612=100",
313,2007-02,"Kelowna, British Columbia",House only,"Index, 201612=100",
314,2007-03,"Kelowna, British Columbia",House only,"Index, 201612=100",
315,2007-04,"Kelowna, British Columbia",House only,"Index, 201612=100",
316,2007-05,"Kelowna, British Columbia",House only,"Index, 201612=100",
317,2007-06,"Kelowna, British Columbia",House only,"Index, 201612=100",
318,2007-07,"Kelowna, British Columbia",House only,"Index, 201612=100",
319,2007-08,"Kelowna, British Columbia",House only,"Index, 201612=100",
320,2007-09,"Kelowna, British Columbia",House only,"Index, 201612=100",
321,2007-10,"Kelowna, British Columbia",House only,"Index, 201612=100",
322,2007-11,"Kelowna, British Columbia",House only,"Index, 201612=100",
323,2007-12,"Kelowna, British Columbia",House only,"Index, 201612=100",
324,2008-01,"Kelowna, British Columbia",House only,"Index, 201612=100",
325,2008-02,"Kelowna, British Columbia",House only,"Index, 201612=100",
326,2008-03,"Kelowna, British Columbia",House only,"Index, 201612=100",
327,2008-04,"Kelowna, British Columbia",House only,"Index, 201612=100",
328,2008-05,"Kelowna, British Columbia",House only,"Index, 201612=100",
329,2008-06,"Kelowna, British Columbia",House only,"Index, 201612=100",
330,2008-07,"Kelowna, British Columbia",House only,"Index, 201612=100",
331,2008-08,"Kelowna, British Columbia",House only,"Index, 201612=100",
332,2008-09,"Kelowna, British Columbia",House only,"Index, 201612=100",
