,REF_DATE,GEO,New housing price indexes,UOM,HPI_windsor_ont
343,2009-08,"Windsor, Ontario",House only,"Index, 201612=100",94.6
344,2009-09,"Windsor, Ontario",House only,"Index, 201612=100",93.9
345,2009-10,"Windsor, Ontario",House only,"Index, 201612=100",94.2
346,2009-11,"Windsor, Ontario",House only,"Index, 201612=100",95.0
347,2009-12,"Windsor, Ontario",House only,"Index, 201612=100",95.0
348,2010-01,"Windsor, Ontario",House only,"Index, 201612=100",95.0
349,2010-02,"Windsor, Ontario",House only,"Index, 201612=100",95.0
350,2010-03,"Windsor, Ontario",House only,"Index, 201612=100",95.0
351,2010-04,"Windsor, Ontario",House only,"Index, 201612=100",95.0
352,2010-05,"Windsor, Ontario",House only,"Index, 201612=100",94.8
353,2010-06,"Windsor, Ontario",House only,"Index, 201612=100",94.7
354,2010-07,"Windsor, Ontario",House only,"Index, 201612=100",93.3
355,2010-08,"Windsor, Ontario",House only,"Index, 201612=100",93.8
356,2010-09,"Windsor, Ontario",House only,"Index, 201612=100",93.9
357,2010-10,"Windsor, Ontario",House only,"Index, 201612=100",93.9
358,2010-11,"Windsor, Ontario",House only,"Index, 201612=100",91.8
359,2010-12,"Windsor, Ontario",House only,"Index, 201612=100",91.1
360,2011-01,"Windsor, Ontario",House only,"Index, 201612=100",91.1
361,2011-02,"Windsor, Ontario",House only,"Index, 201612=100",90.6
362,2011-03,"Windsor, Ontario",House only,"Index, 201612=100",89.5
363,2011-04,"Windsor, Ontario",House only,"Index, 201612=100",89.5
364,2011-05,"Windsor, Ontario",House only,"Index, 201612=100",89.5
365,2011-06,"Windsor, Ontario",House only,"Index, 201612=100",89.6
366,2011-07,"Windsor, Ontario",House only,"Index, 201612=100",89.7
367,2011-08,"Windsor, Ontario",House only,"Index, 201612=100",89.4
368,2011-09,"Windsor, Ontario",House only,"Index, 201612=100",89.3
369,2011-10,"Windsor, Ontario",House only,"Index, 201612=100",89.4
370,2011-11,"Windsor, Ontario",House only,"Index, 201612=100",91.9
371,2011-12,"Windsor, Ontario",House only,"Index, 201612=100",92.1
372,2012-01,"Windsor, Ontario",House only,"Index, 201612=100",92.0
373,2012-02,"Windsor, Ontario",House only,"Index, 201612=100",92.8
374,2012-03,"Windsor, Ontario",House only,"Index, 201612=100",92.8
375,2012-04,"Windsor, Ontario",House only,"Index, 201612=100",92.6
376,2012-05,"Windsor, Ontario",House only,"Index, 201612=100",92.8
377,2012-06,"Windsor, Ontario",House only,"Index, 201612=100",92.8
378,2012-07,"Windsor, Ontario",House only,"Index, 201612=100",92.5
379,2012-08,"Windsor, Ontario",House only,"Index, 201612=100",92.5
380,2012-09,"Windsor, Ontario",House only,"Index, 201612=100",92.5
381,2012-10,"Windsor, Ontario",House only,"Index, 201612=100",92.5
382,2012-11,"Windsor, Ontario",House only,"Index, 201612=100",92.6
383,2012-12,"Windsor, Ontario",House only,"Index, 201612=100",92.6
384,2013-01,"Windsor, Ontario",House only,"Index, 201612=100",92.6
385,2013-02,"Windsor, Ontario",House only,"Index, 201612=100",92.6
386,2013-03,"Windsor, Ontario",House only,"Index, 201612=100",93.2
387,2013-04,"Windsor, Ontario",House only,"Index, 201612=100",93.2
388,2013-05,"Windsor, Ontario",House only,"Index, 201612=100",93.2
389,2013-06,"Windsor, Ontario",House only,"Index, 201612=100",93.0
390,2013-07,"Windsor, Ontario",House only,"Index, 201612=100",93.3
391,2013-08,"Windsor, Ontario",House only,"Index, 201612=100",94.4
392,2013-09,"Windsor, Ontario",House only,"Index, 201612=100",94.0
393,2013-10,"Windsor, Ontario",House only,"Index, 201612=100",94.7
