,REF_DATE,GEO,New housing price indexes,UOM,HPI_halifax_ns
273,2003-10,"Halifax, Nova Scotia",House only,"Index, 201612=100",71.8
274,2003-11,"Halifax, Nova Scotia",House only,"Index, 201612=100",71.8
275,2003-12,"Halifax, Nova Scotia",House only,"Index, 201612=100",72.6
276,2004-01,"Halifax, Nova Scotia",House only,"Index, 201612=100",72.6
277,2004-02,"Halifax, Nova Scotia",House only,"Index, 201612=100",72.6
278,2004-03,"Halifax, Nova Scotia",House only,"Index, 201612=100",72.6
279,2004-04,"Halifax, Nova Scotia",House only,"Index, 201612=100",72.6
280,2004-05,"Halifax, Nova Scotia",House only,"Index, 201612=100",73.2
281,2004-06,"Halifax, Nova Scotia",House only,"Index, 201612=100",73.2
282,2004-07,"Halifax, Nova Scotia",House only,"Index, 201612=100",73.2
283,2004-08,"Halifax, Nova Scotia",House only,"Index, 201612=100",73.2
284,2004-09,"Halifax, Nova Scotia",House only,"Index, 201612=100",73.2
285,2004-10,"Halifax, Nova Scotia",House only,"Index, 201612=100",73.2
286,2004-11,"Halifax, Nova Scotia",House only,"Index, 201612=100",73.2
287,2004-12,"Halifax, Nova Scotia",House only,"Index, 201612=100",73.2
288,2005-01,"Halifax, Nova Scotia",House only,"Index, 201612=100",73.2
289,2005-02,"Halifax, Nova Scotia",House only,"Index, 201612=100",73.2
290,2005-03,"Halifax, Nova Scotia",House only,"Index, 201612=100",73.2
291,2005-04,"Halifax, Nova Scotia",House only,"Index, 201612=100",73.2
292,2005-05,"Halifax, Nova Scotia",House only,"Index, 201612=100",73.2
293,2005-06,"Halifax, Nova Scotia",House only,"Index, 201612=100",73.2
294,2005-07,"Halifax, Nova Scotia",House only,"Index, 201612=100",73.3
295,2005-08,"Halifax, Nova Scotia",House only,"Index, 201612=100",76.7
296,2005-09,"Halifax, Nova Scotia",House only,"Index, 201612=100",77.9
297,2005-10,"Halifax, Nova Scotia",House only,"Index, 201612=100",77.9
298,2005-11,"Halifax, Nova Scotia",House only,"Index, 201612=100",77.9
299,2005-12,"Halifax, Nova Scotia",House only,"Index, 201612=100",77.9
300,2006-01,"Halifax, Nova Scotia",House only,"Index, 201612=100",77.9
301,2006-02,"Halifax, Nova Scotia",House only,"Index, 201612=100",77.9
302,2006-03,"Halifax, Nova Scotia",House only,"Index, 201612=100",77.9
303,2006-04,"Halifax, Nova Scotia",House only,"Index, 201612=100",77.9
304,2006-05,"Halifax, Nova Scotia",House only,"Index, 201612=100",77.9
305,2006-06,"Halifax, Nova Scotia",House only,"Index, 201612=100",78.0
306,2006-07,"Halifax, Nova Scotia",House only,"Index, 201612=100",78.3
307,2006-08,"Halifax, Nova Scotia",House only,"Index, 201612=100",78.3
308,2006-09,"Halifax, Nova Scotia",House only,"Index, 201612=100",78.3
309,2006-10,"Halifax, Nova Scotia",House only,"Index, 201612=100",78.3
310,2006-11,"Halifax, Nova Scotia",House only,"Index, 201612=100",78.8
311,2006-12,"Halifax, Nova Scotia",House only,"Index, 201612=100",78.8
312,2007-01,"Halifax, Nova Scotia",House only,"Index, 201612=100",78.8
313,2007-02,"Halifax, Nova Scotia",House only,"Index, 201612=100",78.8
314,2007-03,"Halifax, Nova Scotia",House only,"Index, 201612=100",78.8
315,2007-04,"Halifax, Nova Scotia",House only,"Index, 201612=100",80.1
316,2007-05,"Halifax, Nova Scotia",House only,"Index, 201612=100",84.1
317,2007-06,"Halifax, Nova Scotia",House only,"Index, 201612=100",84.1
318,2007-07,"Halifax, Nova Scotia",House only,"Index, 201612=100",84.1
319,2007-08,"Halifax, Nova Scotia",House only,"Index, 201612=100",84.3
320,2007-09,"Halifax, Nova Scotia",House only,"Index, 201612=100",84.5
321,2007-10,"Halifax, Nova Scotia",House only,"Index, 201612=100",84.5
322,2007-11,"Halifax, Nova Scotia",House only,"Index, 201612=100",87.3
323,2007-12,"Halifax, Nova Scotia",House only,"Index, 201612=100",87.3
324,2008-01,"Halifax, Nova Scotia",House only,"Index, 201612=100",88.2
325,2008-02,"Halifax, Nova Scotia",House only,"Index, 201612=100",88.2
326,2008-03,"Halifax, Nova Scotia",House only,"Index, 201612=100",89.5
327,2008-04,"Halifax, Nova Scotia",House only,"Index, 201612=100",89.5
328,2008-05,"Halifax, Nova Scotia",House only,"Index, 201612=100",89.5
329,2008-06,"Halifax, Nova Scotia",House only,"Index, 201612=100",89.6
330,2008-07,"Halifax, Nova Scotia",House only,"Index, 201612=100",89.6
331,2008-08,"Halifax, Nova Scotia",House only,"Index, 201612=100",89.6
332,2008-09,"Halifax, Nova Scotia",House only,"Index, 201612=100",89.8
333,2008-10,"Halifax, Nova Scotia",House only,"Index, 201612=100",89.9
334,2008-11,"Halifax, Nova Scotia",House only,"Index, 201612=100",89.9
335,2008-12,"Halifax, Nova Scotia",House only,"Index, 201612=100",90.0
336,2009-01,"Halifax, Nova Scotia",House only,"Index, 201612=100",90.0
337,2009-02,"Halifax, Nova Scotia",House only,"Index, 201612=100",90.0
338,2009-03,"Halifax, Nova Scotia",House only,"Index, 201612=100",90.0
339,2009-04,"Halifax, Nova Scotia",House only,"Index, 201612=100",90.0
340,2009-05,"Halifax, Nova Scotia",House only,"Index, 201612=100",90.0
341,2009-06,"Halifax, Nova Scotia",House only,"Index, 201612=100",90.0
342,2009-07,"Halifax, Nova Scotia",House only,"Index, 201612=100",90.0
343,2009-08,"Halifax, Nova Scotia",House only,"Index, 201612=100",90.0
344,2009-09,"Halifax, Nova Scotia",House only,"Index, 201612=100",90.2
345,2009-10,"Halifax, Nova Scotia",House only,"Index, 201612=100",90.2
