"REF_DATE","GEO","DGUID","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2022-01","Montréal, Quebec","2016S0503462","Index, 2017=100","373","units","0","v1353834720","3","120.9","","","","1"
"2022-01","Québec, Quebec","2016S0503421","Index, 2017=100","373","units","0","v1353834721","4","94.4","E","","","1"
"2022-01","Ottawa-Gatineau, Ontario part, Ontario/Quebec","2016S050535505","Index, 2017=100","373","units","0","v1353834722","5","139.6","","","","1"
"2022-01","Toronto, Ontario","2016S0503535","Index, 2017=100","373","units","0","v1353834723","6","140.0","","","","1"
"2022-01","Calgary, Alberta","2016S0503825","Index, 2017=100","373","units","0","v1353834724","7","80.9","","","","1"
"2022-01","Edmonton, Alberta","2016S0503835","Index, 2017=100","373","units","0","v1353834725","8","85.4","","","","1"
"2022-01","Vancouver, British Columbia","2016S0503933","Index, 2017=100","373","units","0","v1353834726","9","119.6","","","","1"
"2022-01","Victoria, British Columbia","2016S0503935","Index, 2017=100","373","units","0","v1353834727","10","145.7","","","","1"
"2022-04","Nine census metropolitan area composite","","Index, 2017=100","373","units","0","v1353834718","1","128.6","","","","1"
"2022-04","Halifax, Nova Scotia","2016S0503205","Index, 2017=100","373","units","0","v1353834719","2","119.9","E","","","1"
"2022-04","Montréal, Quebec","2016S0503462","Index, 2017=100","373","units","0","v1353834720","3","120.5","","","","1"
"2022-04","Québec, Quebec","2016S0503421","Index, 2017=100","373","units","0","v1353834721","4","94.4","E","","","1"
"2022-04","Ottawa-Gatineau, Ontario part, Ontario/Quebec","2016S050535505","Index, 2017=100","373","units","0","v1353834722","5","138.4","E","","","1"
"2022-04","Toronto, Ontario","2016S0503535","Index, 2017=100","373","units","0","v1353834723","6","138.3","","","","1"
"2022-04","Calgary, Alberta","2016S0503825","Index, 2017=100","373","units","0","v1353834724","7","83.4","E","","","1"
"2022-04","Edmonton, Alberta","2016S0503835","Index, 2017=100","373","units","0","v1353834725","8","88.4","","","","1"
"2022-04","Vancouver, British Columbia","2016S0503933","Index, 2017=100","373","units","0","v1353834726","9","124.0","","","","1"
"2022-04","Victoria, British Columbia","2016S0503935","Index, 2017=100","373","units","0","v1353834727","10","144.3","E","","","1"
